zip_code,state_x,county_x,combine,income
86444,az,mohave,mohaveaz,57530.0
86445,az,mohave,mohaveaz,57530.0
86446,az,mohave,mohaveaz,57530.0
86502,az,apache,apacheaz,44505.0
86503,az,apache,apacheaz,44505.0
86504,az,apache,apacheaz,44505.0
86505,az,apache,apacheaz,44505.0
86506,az,apache,apacheaz,44505.0
86507,az,apache,apacheaz,44505.0
86508,az,apache,apacheaz,44505.0
86510,az,navajo,navajoaz,51447.0
86511,az,apache,apacheaz,44505.0
86512,az,apache,apacheaz,44505.0
86514,az,apache,apacheaz,44505.0
86515,az,apache,apacheaz,44505.0
86520,az,navajo,navajoaz,51447.0
86535,az,apache,apacheaz,44505.0
86538,az,apache,apacheaz,44505.0
86540,az,apache,apacheaz,44505.0
86544,az,apache,apacheaz,44505.0
86545,az,apache,apacheaz,44505.0
86547,az,apache,apacheaz,44505.0
86549,az,apache,apacheaz,44505.0
86556,az,apache,apacheaz,44505.0
15001,pa,beaver,beaverpa,69655.0
15003,pa,beaver,beaverpa,69655.0
15004,pa,washington,washingtonpa,78066.0
15005,pa,beaver,beaverpa,69655.0
15006,pa,allegheny,alleghenypa,78027.0
15007,pa,allegheny,alleghenypa,78027.0
15009,pa,beaver,beaverpa,69655.0
15010,pa,beaver,beaverpa,69655.0
15012,pa,fayette,fayettepa,56917.0
15014,pa,allegheny,alleghenypa,78027.0
15015,pa,allegheny,alleghenypa,78027.0
15017,pa,allegheny,alleghenypa,78027.0
15018,pa,allegheny,alleghenypa,78027.0
15019,pa,washington,washingtonpa,78066.0
15020,pa,allegheny,alleghenypa,78027.0
15021,pa,washington,washingtonpa,78066.0
15022,pa,washington,washingtonpa,78066.0
15024,pa,allegheny,alleghenypa,78027.0
15025,pa,allegheny,alleghenypa,78027.0
15026,pa,allegheny,alleghenypa,78027.0
15027,pa,beaver,beaverpa,69655.0
15028,pa,allegheny,alleghenypa,78027.0
15030,pa,allegheny,alleghenypa,78027.0
15031,pa,allegheny,alleghenypa,78027.0
15032,pa,allegheny,alleghenypa,78027.0
15033,pa,washington,washingtonpa,78066.0
15034,pa,allegheny,alleghenypa,78027.0
15035,pa,allegheny,alleghenypa,78027.0
15036,pa,washington,washingtonpa,78066.0
15037,pa,allegheny,alleghenypa,78027.0
15038,pa,washington,washingtonpa,78066.0
15042,pa,beaver,beaverpa,69655.0
15043,pa,beaver,beaverpa,69655.0
15044,pa,allegheny,alleghenypa,78027.0
15045,pa,allegheny,alleghenypa,78027.0
15046,pa,allegheny,alleghenypa,78027.0
15047,pa,allegheny,alleghenypa,78027.0
15049,pa,allegheny,alleghenypa,78027.0
15050,pa,beaver,beaverpa,69655.0
15051,pa,allegheny,alleghenypa,78027.0
15052,pa,beaver,beaverpa,69655.0
15053,pa,washington,washingtonpa,78066.0
15054,pa,washington,washingtonpa,78066.0
15055,pa,washington,washingtonpa,78066.0
15056,pa,allegheny,alleghenypa,78027.0
15057,pa,washington,washingtonpa,78066.0
